period,death,proportion
t0,False,0.945308258058147
t0,True,0.054691741941853
t1,False,0.9393086816720257
t1,True,0.060691318327974274
t2,False,0.9446457691610799
t2,True,0.0553542308389201
t3,False,0.9354912791751779
t3,True,0.06450872082482202
