period,gender_desc,proportion
t0,Male,0.5677970284811689
t0,Female,0.43220297151883114
t1,Male,0.5868167202572347
t1,Female,0.41318327974276525
t2,Male,0.5803587606450444
t2,Female,0.4196412393549556
t3,Male,0.5518716836087172
t3,Female,0.448104142240702
t3,Indeterminate,2.417415058078397e-05
